9.018419603657901007e+01 -2.106693728773540784e+02
9.303191093082401153e+01 -2.106792772027837657e+02
9.593895109508555663e+01 -2.106865376194409976e+02
9.890592813008854023e+01 -2.106914494171741978e+02
1. 019334536365444848e+02 -2.106942912158600905e+02
1. 050221392151850495e+02 -2.106953045253939933e+02
1. 081725964667284074e+02 -2.106947184856627473e+02
1. 113854369918995815e+02 -2.106927453965718371e+02
1. 146612723914167304e+02 -2.106895841880328248e+02
